Artist Name,Artist ID,External URL,Followers,Genres,Popularity,Image URL
Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,https://open.spotify.com/artist/1zNqDE7qDGCsyzJwohVaoX,11733290,pop,78,https://i.scdn.co/image/ab6761610000e5eb67013e289b84440ce3d1c88e
The Vamps,7gAppWoH7pcYmphCVTXkzs,https://open.spotify.com/artist/7gAppWoH7pcYmphCVTXkzs,5785952,"boy band, pop",65,https://i.scdn.co/image/ab6761610000e5eb77ef80571a40d9d19cf52208
Holly Humberstone,0nnYdIpahs41QiZ9MWp5Wx,https://open.spotify.com/artist/0nnYdIpahs41QiZ9MWp5Wx,240286,"alt z, indie pop, modern alternative pop, uk pop",61,https://i.scdn.co/image/ab6761610000e5eb8975c5e610eb94b89c576161
Hayley Kiyoko,3LjhVl7GzYsza1biQjTpaN,https://open.spotify.com/artist/3LjhVl7GzYsza1biQjTpaN,1654302,"alt z, indie poptimism, pop",58,https://i.scdn.co/image/ab6761610000e5eb9518c52fa035e0cfb3d29724
Jojo Siwa (Kids),3Iq6waFNaQnjLjEjp2l3nc,https://open.spotify.com/artist/3Iq6waFNaQnjLjEjp2l3nc,521931,movie tunes,50,https://i.scdn.co/image/ab6761610000e5eb5fafe669290dd825da1b118e
Cavetown,2hR4h1Cao2ueuI7Cx9c7V8,https://open.spotify.com/artist/2hR4h1Cao2ueuI7Cx9c7V8,4043692,"bedroom pop, indie pop, pov: indie",70,https://i.scdn.co/image/ab6761610000e5ebef138aa4569dba63ee549997
Joshua Bassett,4VdV2qRAYBLINR6uU72V1J,https://open.spotify.com/artist/4VdV2qRAYBLINR6uU72V1J,1053299,singer-songwriter pop,58,https://i.scdn.co/image/ab6761610000e5ebfa60d9987b4aed40b4b0073c
Lauren Jauregui,3J0BpFVUc9LeOIVeN5uNhU,https://open.spotify.com/artist/3J0BpFVUc9LeOIVeN5uNhU,1278014,r&b,53,https://i.scdn.co/image/ab6761610000e5ebd5784ddbd71d5b8ed27fe4d7
Jennifer Lopez,2DlGxzQSjYe5N6G9nkYghR,https://open.spotify.com/artist/2DlGxzQSjYe5N6G9nkYghR,12739954,"dance pop, pop, urban contemporary",76,https://i.scdn.co/image/ab6761610000e5eb6c85a90c558ca8d368392f60
Sofia Wylie,0K0YUvOFH3TVILvIPBfeYN,https://open.spotify.com/artist/0K0YUvOFH3TVILvIPBfeYN,76003,movie tunes,40,https://i.scdn.co/image/ab6761610000e5eb22819b1a0cf6c59890f46fd7
Benson Boone,22wbnEMDvgVIAGdFeek6ET,https://open.spotify.com/artist/22wbnEMDvgVIAGdFeek6ET,2069156,singer-songwriter pop,86,https://i.scdn.co/image/ab6761610000e5ebb2ce21a89c09c00d80d8ca25
3OH!3,0FWzNDaEu9jdgcYTbcOa4F,https://open.spotify.com/artist/0FWzNDaEu9jdgcYTbcOa4F,962259,"dance pop, electropowerpop, pop punk, pop rap, post-teen pop",63,https://i.scdn.co/image/ab6761610000e5eb88c0f267b7c826cce063ff95
Charli XCX,25uiPmTg16RbhZWAqwLBy5,https://open.spotify.com/artist/25uiPmTg16RbhZWAqwLBy5,3097583,"art pop, candy pop, metropopolis, pop, uk pop",77,https://i.scdn.co/image/ab6761610000e5eb936885667ef44c306483c838
Kehlani,0cGUm45nv7Z6M6qdXYQGTX,https://open.spotify.com/artist/0cGUm45nv7Z6M6qdXYQGTX,7550368,"pop, r&b, rap",73,https://i.scdn.co/image/ab6761610000e5eb257217c67faea40445b21169
Maroon 5,04gDigrS5kc9YWfZHwBETP,https://open.spotify.com/artist/04gDigrS5kc9YWfZHwBETP,41182700,pop,85,https://i.scdn.co/image/ab6761610000e5ebf8349dfb619a7f842242de77
beabadoobee,35l9BRT7MXmM8bv2WDQiyB,https://open.spotify.com/artist/35l9BRT7MXmM8bv2WDQiyB,3321587,"bedroom pop, bubblegrunge, indie pop, pov: indie",76,https://i.scdn.co/image/ab6761610000e5eb9d6d0ba276987f19641c27de
Sia,5WUlDfRSoLAfcVSX1WnrxN,https://open.spotify.com/artist/5WUlDfRSoLAfcVSX1WnrxN,27580865,"australian dance, australian pop, pop",84,https://i.scdn.co/image/ab6761610000e5eb7c997fe6951bc0926f09ba38
Jess Glynne,4ScCswdRlyA23odg9thgIO,https://open.spotify.com/artist/4ScCswdRlyA23odg9thgIO,3021449,"dance pop, pop, uk pop",73,https://i.scdn.co/image/ab6761610000e5eba52d6095be04ca6691ba9a96
will.i.am,085pc2PYOi8bGKj0PNjekA,https://open.spotify.com/artist/085pc2PYOi8bGKj0PNjekA,4080563,"dance pop, pop",73,https://i.scdn.co/image/ab6761610000e5ebc9ab8da6f7a3ce02f0b16fd8
Larry Saperstein,3kVNx1UKVbk2KGkFECQRf0,https://open.spotify.com/artist/3kVNx1UKVbk2KGkFECQRf0,19723,,16,https://i.scdn.co/image/ab6761610000e5eb26651044613435af79b8c5fe
Miranda Cosgrove,3SYGWAHCe31oykdeUPpoJp,https://open.spotify.com/artist/3SYGWAHCe31oykdeUPpoJp,1225124,post-teen pop,46,https://i.scdn.co/image/373d8256edbe4a85bf8212817b96471cef4af400
Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,https://open.spotify.com/artist/5cj0lLjcoR7YOSnhnX0Po5,29344658,"dance pop, pop",87,https://i.scdn.co/image/ab6761610000e5ebe94f88ff74ae4ddcab961f97
Little Mix,3e7awlrlDSwF3iM0WBjGMp,https://open.spotify.com/artist/3e7awlrlDSwF3iM0WBjGMp,11792360,"girl group, pop, talent show, uk pop",74,https://i.scdn.co/image/ab6761610000e5eb08cd53940cbf5813ee5fe565
Chase Atlantic,7cYEt1pqMgXJdq00hAwVpT,https://open.spotify.com/artist/7cYEt1pqMgXJdq00hAwVpT,6948020,alternative r&b,79,https://i.scdn.co/image/ab6761610000e5eb559c24d0f169d3fc107e3932
Steve Lacy,57vWImR43h4CaDao012Ofp,https://open.spotify.com/artist/57vWImR43h4CaDao012Ofp,4424205,afrofuturism,80,https://i.scdn.co/image/ab6761610000e5eb09ac9d040c168d4e4f58eb42
Tove Lo,4NHQUGzhtTLFvgF5SZesLK,https://open.spotify.com/artist/4NHQUGzhtTLFvgF5SZesLK,3536365,"dance pop, metropopolis, pop, swedish electropop, swedish pop, swedish synthpop",73,https://i.scdn.co/image/ab6761610000e5ebf43f1646fe2bffb471b25e17
