Artist Name,Artist ID,External URL,Followers,Genres,Popularity,Image URL
ELISA ERKA,1EkqwqtzsjxMYJZH73RFVM,https://open.spotify.com/artist/1EkqwqtzsjxMYJZH73RFVM,5024,nouvelle chanson francaise,29,https://i.scdn.co/image/ab6761610000e5eb0bfe1d5c2b256c89a6c25ea9
Emmanuel Moire,5YIaZ0ICxZyNEsATQRsxRk,https://open.spotify.com/artist/5YIaZ0ICxZyNEsATQRsxRk,158179,"chanson, french pop",45,https://i.scdn.co/image/ab6761610000e5eb16bbee1ec0fa3be0c734232c
Florent Pagny,0g7hZVprd3orBpMrSLWeJ9,https://open.spotify.com/artist/0g7hZVprd3orBpMrSLWeJ9,797553,"chanson, french pop",55,https://i.scdn.co/image/ab6761610000e5eb7e125f96d866469e13753092
Kids United Nouvelle Generation,3GjGdUg7HGaoqwMzFBbdqt,https://open.spotify.com/artist/3GjGdUg7HGaoqwMzFBbdqt,70765,"french pop, variete francaise",40,https://i.scdn.co/image/ab6761610000e5ebfcdd077b1fcd4df6328e907e
Michel Polnareff,7aKldvGENbL4bj8TCWHuhT,https://open.spotify.com/artist/7aKldvGENbL4bj8TCWHuhT,213814,"chanson, ye ye",49,https://i.scdn.co/image/ab6761610000e5eb655cdecda4f3f4bfc15c78d9
Ahmed Kamel,41g2nSmocqVLuYnmndxefu,https://open.spotify.com/artist/41g2nSmocqVLuYnmndxefu,1710184,egyptian pop,49,https://i.scdn.co/image/ab6761610000e5eb789f3bf7d4ffd89e2b7af61b
Vianney,4Nrd0CtP8txoQhnnlRA6V6,https://open.spotify.com/artist/4Nrd0CtP8txoQhnnlRA6V6,1261485,"chanson, french pop",65,https://i.scdn.co/image/ab6761610000e5ebd5ce4eabf895041af528e4df
Lorie Line,3lk8qatIcUand38OeCGxk9,https://open.spotify.com/artist/3lk8qatIcUand38OeCGxk9,3159,,26,https://i.scdn.co/image/ebcf6480226effdc47508e99e3ff770abb59e51d
Jeanne Mas,6ItMujsGa113JYrjlfrZXR,https://open.spotify.com/artist/6ItMujsGa113JYrjlfrZXR,59620,"chanson, classic french pop, french pop",43,https://i.scdn.co/image/ab67616d0000b273ce053b5d3475ecccd6af2854
(G)I-DLE,2AfmfGFbe0A0WsTYm0SDTx,https://open.spotify.com/artist/2AfmfGFbe0A0WsTYm0SDTx,8836275,k-pop girl group,78,https://i.scdn.co/image/ab6761610000e5ebc112966f2a5abe5641abae6f
Michel Jonasz,1xbjT6BnZk2j6PZhf5VZR7,https://open.spotify.com/artist/1xbjT6BnZk2j6PZhf5VZR7,124640,chanson,47,https://i.scdn.co/image/ab6761610000e5ebaa018e68c4020c03efe36e28
Tim Dup,2Ksaxtwx8hMgjUkzIoGDXE,https://open.spotify.com/artist/2Ksaxtwx8hMgjUkzIoGDXE,90531,"french indie pop, french pop, nouvelle chanson francaise",44,https://i.scdn.co/image/ab6761610000e5eb733d7d57d2be36b4da5f6307
Clara Ysé,5resnspF60fUdkKmQHn8em,https://open.spotify.com/artist/5resnspF60fUdkKmQHn8em,22362,nouvelle chanson francaise,48,https://i.scdn.co/image/ab6761610000e5eb55ad3e0ea22837a04e71c6c2
Noodels,42tkzCOCrVZGmUCcvXhVPi,https://open.spotify.com/artist/42tkzCOCrVZGmUCcvXhVPi,77528,,42,https://i.scdn.co/image/ab6761610000e5ebd74a36a1e1b25d3811aec64a
Soldat Louis,1xrlEiFyB2fhqJATbGDULK,https://open.spotify.com/artist/1xrlEiFyB2fhqJATbGDULK,52607,"breton folk, chanson paillarde, french rock",41,https://i.scdn.co/image/ab6761610000e5eb2032f3b6e280374898b20834
Cocoon,15h5B5quwDm2C1rhbtvUPD,https://open.spotify.com/artist/15h5B5quwDm2C1rhbtvUPD,121118,"french indie pop, french rock, nouvelle chanson francaise",52,https://i.scdn.co/image/ab6761610000e5ebbb7aa61ac7401e87461188fa
Grand Blanc,7bBAqNfQpi9M5s3uz6Dwcb,https://open.spotify.com/artist/7bBAqNfQpi9M5s3uz6Dwcb,36280,"french indie pop, french indietronica, french post-punk",30,https://i.scdn.co/image/ab6761610000e5ebb37fbaba22eacfd53ed815e0
Adham Seliman,4xV6q5fDx5Mx73IZEugzHF,https://open.spotify.com/artist/4xV6q5fDx5Mx73IZEugzHF,432185,"arab pop, egyptian alternative, egyptian pop",34,https://i.scdn.co/image/ab67616d0000b2737fb357d78adbc6f0aba847dc
Natasha St-Pier,1miK7RIscxXIgQgHQ0G7ch,https://open.spotify.com/artist/1miK7RIscxXIgQgHQ0G7ch,249751,"chanson, french pop",44,https://i.scdn.co/image/ab6761610000e5ebcd55923ff87894189b6884aa
Jabberwocky,7xfdx6PiB50V9VWI4Mq70R,https://open.spotify.com/artist/7xfdx6PiB50V9VWI4Mq70R,57601,"french indie pop, french indietronica, new french touch",41,https://i.scdn.co/image/ab6761610000e5eb7e8cf294ac379fad716a4b3d
Léo Ferré,6NB0vY1HQgkUpCBsm5eAvo,https://open.spotify.com/artist/6NB0vY1HQgkUpCBsm5eAvo,152196,chanson,41,https://i.scdn.co/image/ab6761610000e5eb1b7b9af10fc1187b1d599f8f
Carla Morrison,0XK6kT7xcZAlcYrNjOgzJe,https://open.spotify.com/artist/0XK6kT7xcZAlcYrNjOgzJe,4124176,"cantautora mexicana, mexican pop",72,https://i.scdn.co/image/ab6761610000e5eb13cbe72a36665158e26fa19c
Disiz,7rz6ZZErn5YFDteXKhyf3g,https://open.spotify.com/artist/7rz6ZZErn5YFDteXKhyf3g,292006,"french hip hop, rap conscient",56,https://i.scdn.co/image/ab6761610000e5eb1c4076f607e591ea865c8c3d
Lionel Richie,3gMaNLQm7D9MornNILzdSl,https://open.spotify.com/artist/3gMaNLQm7D9MornNILzdSl,3495038,"disco, soft rock",70,https://i.scdn.co/image/ab6761610000e5eb002684808eb17d8b3645b57c
GSPD,1K21aU29xAqoKoqbFgpPUt,https://open.spotify.com/artist/1K21aU29xAqoKoqbFgpPUt,137107,"russian alt pop, russian electronic, russian rave",49,https://i.scdn.co/image/ab6761610000e5ebddee152a263d9a323c8fa392
Boulevard des Airs,6px2zTzjQAPLkuea5qQ2Gx,https://open.spotify.com/artist/6px2zTzjQAPLkuea5qQ2Gx,210987,"chanson, french pop, french rock, variete francaise",47,https://i.scdn.co/image/ab6761610000e5eb1e0a9437fa0fedf46d830cc1
Skip the Use,6UWiE4V9p2HK4C74A0CGKB,https://open.spotify.com/artist/6UWiE4V9p2HK4C74A0CGKB,138527,"french indie pop, french rock, rock independant francais",45,https://i.scdn.co/image/ab6761610000e5eb6a62aaa48a70f03227de917c
Evan et Marco,0qgw5KQPb3ZkCuuAbCfP0I,https://open.spotify.com/artist/0qgw5KQPb3ZkCuuAbCfP0I,47583,french pop,27,https://i.scdn.co/image/ab6761610000e5eb0367eefdc9f9f682baeeb4e4
Benjamin Biolay,26Kq9bSJsElA93PflKEB1A,https://open.spotify.com/artist/26Kq9bSJsElA93PflKEB1A,174930,"chanson, french rock, nouvelle chanson francaise",49,https://i.scdn.co/image/ab6761610000e5ebee8eb2ba84ddf81f6fb69c8f
Laurent Voulzy,6ogXCiVOaz2afPmMNHph7Z,https://open.spotify.com/artist/6ogXCiVOaz2afPmMNHph7Z,269519,chanson,49,https://i.scdn.co/image/ab6761610000e5eb383ae6a8e9db27f6b9a482e9
Jil Is Lucky,4O82966S46TGCDsAzRFlku,https://open.spotify.com/artist/4O82966S46TGCDsAzRFlku,14062,"french indie folk, french indie pop",33,https://i.scdn.co/image/ab6761610000e5eb2f958365cb03075bc7215f93
