Node1, Node2
Taylor Swift, Selena Gomez
Taylor Swift, Olivia Rodrigo
Taylor Swift, Katy Perry
Taylor Swift, Ariana Grande
Taylor Swift, Harry Styles
Taylor Swift, Camila Cabello
Taylor Swift, Demi Lovato
Taylor Swift, One Direction
Taylor Swift, Meghan Trainor
Taylor Swift, Shawn Mendes
Taylor Swift, Miley Cyrus
Taylor Swift, Sabrina Carpenter
Taylor Swift, Dua Lipa
Taylor Swift, Justin Bieber
Taylor Swift, Lana Del Rey
Taylor Swift, Halsey
Taylor Swift, Billie Eilish
Taylor Swift, Conan Gray
Taylor Swift, Charlie Puth
Taylor Swift, ZAYN
Selena Gomez, Camila Cabello
Selena Gomez, Demi Lovato
Selena Gomez, Selena Gomez & The Scene
Selena Gomez, Fifth Harmony
Selena Gomez, Nick Jonas
Selena Gomez, Bebe Rexha
Selena Gomez, Katy Perry
Selena Gomez, Miley Cyrus
Selena Gomez, Anne-Marie
Selena Gomez, Halsey
Selena Gomez, ZAYN
Selena Gomez, Ariana Grande
Selena Gomez, Dua Lipa
Selena Gomez, Meghan Trainor
Selena Gomez, Shawn Mendes
Selena Gomez, Little Mix
Selena Gomez, Hailee Steinfeld
Selena Gomez, Zara Larsson
Selena Gomez, Alessia Cara
Selena Gomez, Zendaya
Olivia Rodrigo, Sabrina Carpenter
Olivia Rodrigo, Conan Gray
Olivia Rodrigo, Tate McRae
Olivia Rodrigo, Madison Beer
Olivia Rodrigo, Doja Cat
Olivia Rodrigo, Harry Styles
Olivia Rodrigo, Gracie Abrams
Olivia Rodrigo, Ariana Grande
Olivia Rodrigo, Dove Cameron
Olivia Rodrigo, Billie Eilish
Olivia Rodrigo, Melanie Martinez
Olivia Rodrigo, Taylor Swift
Olivia Rodrigo, Lana Del Rey
Olivia Rodrigo, Joshua Bassett
Olivia Rodrigo, Selena Gomez
Olivia Rodrigo, Dua Lipa
Olivia Rodrigo, SZA
Olivia Rodrigo, Camila Cabello
Olivia Rodrigo, girl in red
Olivia Rodrigo, One Direction
Katy Perry, Britney Spears
Katy Perry, Meghan Trainor
Katy Perry, Lady Gaga
Katy Perry, Demi Lovato
Katy Perry, Kesha
Katy Perry, Avril Lavigne
Katy Perry, Jessie J
Katy Perry, Selena Gomez
Katy Perry, Miley Cyrus
Katy Perry, Kelly Clarkson
Katy Perry, Christina Aguilera
Katy Perry, Bebe Rexha
Katy Perry, Ellie Goulding
Katy Perry, Camila Cabello
Katy Perry, Fifth Harmony
Katy Perry, P!nk
Katy Perry, Little Mix
Katy Perry, Sia
Katy Perry, Selena Gomez & The Scene
Katy Perry, Dua Lipa
Ariana Grande, Camila Cabello
Ariana Grande, Selena Gomez
Ariana Grande, Demi Lovato
Ariana Grande, Doja Cat
Ariana Grande, Dua Lipa
Ariana Grande, Katy Perry
Ariana Grande, Shawn Mendes
Ariana Grande, Olivia Rodrigo
Ariana Grande, Fifth Harmony
Ariana Grande, Nicki Minaj
Ariana Grande, Little Mix
Ariana Grande, Cardi B
Ariana Grande, Meghan Trainor
Ariana Grande, Miley Cyrus
Ariana Grande, Halsey
Ariana Grande, Billie Eilish
Ariana Grande, Sabrina Carpenter
Ariana Grande, Harry Styles
Ariana Grande, ZAYN
Ariana Grande, Rihanna
Harry Styles, Louis Tomlinson
Harry Styles, Niall Horan
Harry Styles, Liam Payne
Harry Styles, One Direction
Harry Styles, ZAYN
Harry Styles, 5 Seconds of Summer
Harry Styles, Conan Gray
Harry Styles, Shawn Mendes
Harry Styles, Jonas Brothers
Harry Styles, Olivia Rodrigo
Harry Styles, Dua Lipa
Harry Styles, Miley Cyrus
Harry Styles, Sabrina Carpenter
Harry Styles, Camila Cabello
Harry Styles, Troye Sivan
Harry Styles, The Vamps
Harry Styles, Halsey
Harry Styles, Selena Gomez
Harry Styles, Little Mix
Harry Styles, Doja Cat
Camila Cabello, Fifth Harmony
Camila Cabello, Bebe Rexha
Camila Cabello, Anne-Marie
Camila Cabello, Demi Lovato
Camila Cabello, Selena Gomez
Camila Cabello, Shawn Mendes
Camila Cabello, Zara Larsson
Camila Cabello, Halsey
Camila Cabello, Nick Jonas
Camila Cabello, Hailee Steinfeld
Camila Cabello, Alessia Cara
Camila Cabello, Meghan Trainor
Camila Cabello, Little Mix
Camila Cabello, ZAYN
Camila Cabello, Rita Ora
Camila Cabello, Dua Lipa
Camila Cabello, Selena Gomez & The Scene
Camila Cabello, Charlie Puth
Camila Cabello, Jonas Brothers
Camila Cabello, Ariana Grande
Demi Lovato, Fifth Harmony
Demi Lovato, Nick Jonas
Demi Lovato, Selena Gomez & The Scene
Demi Lovato, Bebe Rexha
Demi Lovato, Alessia Cara
Demi Lovato, Hailee Steinfeld
Demi Lovato, Meghan Trainor
Demi Lovato, Jessie J
Demi Lovato, Little Mix
Demi Lovato, Camila Cabello
Demi Lovato, Zendaya
Demi Lovato, Rita Ora
Demi Lovato, Zara Larsson
Demi Lovato, Kesha
Demi Lovato, Hannah Montana
Demi Lovato, Miley Cyrus
Demi Lovato, Selena Gomez
Demi Lovato, Jonas Brothers
Demi Lovato, Kelly Clarkson
Demi Lovato, Anne-Marie
One Direction, Louis Tomlinson
One Direction, Niall Horan
One Direction, Liam Payne
One Direction, 5 Seconds of Summer
One Direction, ZAYN
One Direction, Harry Styles
One Direction, The Vamps
One Direction, Shawn Mendes
One Direction, Little Mix
One Direction, Jonas Brothers
One Direction, Charlie Puth
One Direction, Nick Jonas
One Direction, Fifth Harmony
One Direction, James Arthur
One Direction, Demi Lovato
One Direction, Justin Bieber
One Direction, Camila Cabello
One Direction, Selena Gomez
One Direction, Anne-Marie
One Direction, Conan Gray
Meghan Trainor, Fifth Harmony
Meghan Trainor, Little Mix
Meghan Trainor, Jessie J
Meghan Trainor, Bebe Rexha
Meghan Trainor, Demi Lovato
Meghan Trainor, Kelly Clarkson
Meghan Trainor, Nick Jonas
Meghan Trainor, Zendaya
Meghan Trainor, Anne-Marie
Meghan Trainor, Kesha
Meghan Trainor, Hailee Steinfeld
Meghan Trainor, Alessia Cara
Meghan Trainor, Iggy Azalea
Meghan Trainor, Katy Perry
Meghan Trainor, Rita Ora
Meghan Trainor, Zara Larsson
Meghan Trainor, Jonas Brothers
Meghan Trainor, Christina Aguilera
Meghan Trainor, Britney Spears
Meghan Trainor, Camila Cabello
Shawn Mendes, Camila Cabello
Shawn Mendes, Charlie Puth
Shawn Mendes, ZAYN
Shawn Mendes, Nick Jonas
Shawn Mendes, Jonas Brothers
Shawn Mendes, Niall Horan
Shawn Mendes, 5 Seconds of Summer
Shawn Mendes, Liam Payne
Shawn Mendes, Anne-Marie
Shawn Mendes, Demi Lovato
Shawn Mendes, The Vamps
Shawn Mendes, Fifth Harmony
Shawn Mendes, One Direction
Shawn Mendes, Bebe Rexha
Shawn Mendes, Alessia Cara
Shawn Mendes, Louis Tomlinson
Shawn Mendes, Zara Larsson
Shawn Mendes, Selena Gomez
Shawn Mendes, Halsey
Shawn Mendes, Hailee Steinfeld
Miley Cyrus, Hannah Montana
Miley Cyrus, Demi Lovato
Miley Cyrus, Kesha
Miley Cyrus, Britney Spears
Miley Cyrus, Avril Lavigne
Miley Cyrus, Christina Aguilera
Miley Cyrus, Jonas Brothers
Miley Cyrus, Bebe Rexha
Miley Cyrus, Meghan Trainor
Miley Cyrus, Kelly Clarkson
Miley Cyrus, Selena Gomez
Miley Cyrus, Katy Perry
Miley Cyrus, Lady Gaga
Miley Cyrus, Jessie J
